place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJvSIqq8AJxkcRxrsFRe5vGeY,The Mexican,"Colorfully decorated restaurant serving Mexican dishes, grilled items, desserts & cocktails.",,1349,3.9,"Name: Salsa Shop
Link: https://www.google.com/maps/search/Salsa+Shop/@52.3660742,4.8997138?authuser=0&hl=en&entry=ttu
Reviews: 1246 reviews

Name: Sombrero Mexico Restaurant
Link: https://www.google.com/maps/search/Sombrero+Mexico+Restaurant/@52.3763911,4.8947388?authuser=0&hl=en&entry=ttu
Reviews: 1103 reviews

Name: Mexicaans Cafe-Restaurant La Margarita Amsterdam
Link: https://www.google.com/maps/search/Mexicaans+Cafe-Restaurant+La+Margarita+Amsterdam/@52.3692913,4.8930466?authuser=0&hl=en&entry=ttu
Reviews: 740 reviews

Name: Restaurant Mama Maria - Mexican & Steak
Link: https://www.google.com/maps/search/Restaurant+Mama+Maria+-+Mexican+%26+Steak/@52.376388899999995,4.8947221999999995?authuser=0&hl=en&entry=ttu
Reviews: 351 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.the-mexican.nl/,020 421 8298,1,The Mexican (Owner),,https://lh3.ggpht.com/p/AF1QipPnx5Gz7jRiIDQG9E_OhNsZ_EMSpWQgnfC4dUmG=s1024,Mexican restaurant,"Mexican restaurant, Restaurant, Taco restaurant",12-11 pm,,Open All Days,"Damstraat 36, 1012 JM Amsterdam","quantity, vegetarian, tourist, toilet, curry, ribs, value, frozen, main dish, empanadas",https://www.google.com/maps/place/The+Mexican/data=!4m7!3m6!1s0x47c609c0ab2a22bd:0xe6196fee4505bbc6!8m2!3d52.3722646!4d4.8943849!16s%2Fg%2F1tfjkb1x!19sChIJvSIqq8AJxkcRxrsFRe5vGeY?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJ9zkRBekJxkcR6qjeE9GfJ5g,El Vino,"Casual, colorful cantina-style grill with a terrace,  serving steaks, fajitas & tequila cocktails.",,1852,4.5,"Name: Tacos & Tequila
Link: https://www.google.com/maps/search/Tacos+%26+Tequila/@52.363419799999996,4.885508199999999?authuser=0&hl=en&entry=ttu
Reviews: 2384 reviews

Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Alfonso's Mexican & Grill Restaurant
Link: https://www.google.com/maps/search/Alfonso's+Mexican+%26+Grill+Restaurant/@52.3647123,4.8980583?authuser=0&hl=en&entry=ttu
Reviews: 516 reviews

Name: Tomatillo
Link: https://www.google.com/maps/search/Tomatillo/@52.360625399999996,4.8676978?authuser=0&hl=en&entry=ttu
Reviews: 347 reviews",http://www.elvino-amsterdam.com/#about,020 330 0093,1,El Vino (Owner),,https://lh3.ggpht.com/p/AF1QipMIBt3DGJ_5b8oBbNTF_l0XLvN-_5TRczrtJbX4=s1024,Mexican restaurant,"Mexican restaurant, Restaurant",10 am-12 am,,Open All Days,"Lange Leidsedwarsstraat 51, 1017 NG Amsterdam","owner, sombrero, funny, hospitality, social deal, host, mixed grill, sympathetic, maps, tenderloin",https://www.google.com/maps/place/El+Vino/data=!4m7!3m6!1s0x47c609e9051139f7:0x98279fd113dea8ea!8m2!3d52.3638878!4d4.88486!16s%2Fg%2F1tfpj00b!19sChIJ9zkRBekJxkcR6qjeE9GfJ5g?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJ3epwqJYJxkcRY3a2BWOvkZc,Tacos & Tequila,,,2383,4.3,"Name: El Vino
Link: https://www.google.com/maps/search/El+Vino/@52.3638878,4.88486?authuser=0&hl=en&entry=ttu
Reviews: 1852 reviews

Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Taco Mundo Amsterdam-Oud West
Link: https://www.google.com/maps/search/Taco+Mundo+Amsterdam-Oud+West/@52.3653955,4.8737544?authuser=0&hl=en&entry=ttu
Reviews: 246 reviews

Name: Tacos La Sinaloense
Link: https://www.google.com/maps/search/Tacos+La+Sinaloense/@52.367453999999995,4.8663498?authuser=0&hl=en&entry=ttu
Reviews: 28 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://www.tacosentequila.nl/,06 34444299,,Tacos & Tequila (Owner),https://www.google.com/maps/contrib/100393036653980307606,https://lh3.ggpht.com/p/AF1QipM1ojpcaZ7cCnFQuxQtiOPgxNQp7nGh4LDyZsol=s1024,Mexican restaurant,Mexican restaurant,12-10 pm,,Open All Days,"Lange Leidsedwarsstraat 75H, 1017 NH Amsterdam","cocktails, mezcal, totopos, reservation, jackfruit, cassava, tap water, purchase order, flower, QR",https://www.google.com/maps/place/Tacos+%26+Tequila/data=!4m7!3m6!1s0x47c60996a870eadd:0x9791af6305b67663!8m2!3d52.3634198!4d4.8855082!16s%2Fg%2F11fkr5wjc2!19sChIJ3epwqJYJxkcRY3a2BWOvkZc?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJfVUYUpcJxkcRrRk0iLxpyno,Sombrero Mexico Restaurant,One of the best mexica food in Amsterdam. With alot many opinions of bbq asadoo,,1107,4.6,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Mexicaans Cafe-Restaurant La Margarita Amsterdam
Link: https://www.google.com/maps/search/Mexicaans+Cafe-Restaurant+La+Margarita+Amsterdam/@52.3692913,4.8930466?authuser=0&hl=en&entry=ttu
Reviews: 740 reviews

Name: Restaurant Mama Maria - Mexican & Steak
Link: https://www.google.com/maps/search/Restaurant+Mama+Maria+-+Mexican+%26+Steak/@52.376388899999995,4.8947221999999995?authuser=0&hl=en&entry=ttu
Reviews: 351 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,020 427 9900,,Sombrero Mexico Restaurant (Owner),https://www.google.com/maps/contrib/103679778434404644226,https://lh3.ggpht.com/p/AF1QipOfIeTdJwi4BpDfkAQkFZBUYZFrGfSgwoqYLenf=s1024,Mexican restaurant,Mexican restaurant,12-11 pm,,Open All Days,"Nieuwezijds Kolk 14, 1012 PV Amsterdam","fajitas, music, margaritas, chef, tourist trap, hospitality, reviews, chimichanga, microwaved, main course",https://www.google.com/maps/place/Sombrero+Mexico+Restaurant/data=!4m7!3m6!1s0x47c609975218557d:0x7aca69bc883419ad!8m2!3d52.3763911!4d4.8947388!16s%2Fg%2F11t4bwmhhf!19sChIJfVUYUpcJxkcRrRk0iLxpyno?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJl5OQ_vwJxkcR12FocGRakpU,Cantina Caliente - Cocina Latina,"Our definition of cantina is a place where you can come for a coffee, lunch, dinner some snacks or just a drink.

We are specialized in Latin-American food and serve authentic dishes like hand-made blue corn tacos, Peruvian ceviche, Argentinian beef, empanadas and many vegan options.

We have an extended menu of tequilas, mezcales, pisco, wines, beers and cocktails.",,778,4.3,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Salsa Shop
Link: https://www.google.com/maps/search/Salsa+Shop/@52.3660742,4.8997138?authuser=0&hl=en&entry=ttu
Reviews: 1246 reviews

Name: Burritos Anonymous
Link: https://www.google.com/maps/search/Burritos+Anonymous/@52.3667597,4.925196?authuser=0&hl=en&entry=ttu
Reviews: 407 reviews

Name: Colima
Link: https://www.google.com/maps/search/Colima/@52.3613219,4.8990735?authuser=0&hl=en&entry=ttu
Reviews: 279 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://calientefood.nl/cantina/,06 11283215,,Cantina Caliente - Cocina Latina (Owner),https://www.google.com/maps/contrib/116436157868556465747,https://lh3.ggpht.com/p/AF1QipMBN6cRHRVl1bLDQiYVmEd_nhaWEaCwxPD25npn=s1024,Latin American restaurant,"Latin American restaurant, Colombian restaurant, Mexican restaurant, Peruvian restaurant, South American restaurant",12-11 pm,,Open All Days,"Roetersstraat 192, 1018 WE Amsterdam","cocktails, nachos, ceviche, patatas bravas, pulpo, spicy, university, barbacoa, burrito bowl, maps",https://www.google.com/maps/place/Cantina+Caliente+-+Cocina+Latina/data=!4m7!3m6!1s0x47c609fcfe909397:0x95925a64706861d7!8m2!3d52.3623527!4d4.9108398!16s%2Fg%2F11j255p4vz!19sChIJl5OQ_vwJxkcR12FocGRakpU?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJ1cT685UJxkcRYskxu6pdH4s,Salsa Shop,"Looking for a Mexican restaurant in Amsterdam? Salsa Shop Amsterdam at Rembrandt Square is your top choice. Enjoy the authentic Mexican food experience right here in the heart of Amsterdam. With a variety of delicious options available, whether you are craving for lunch, lekker eten, or simply want to explore restaurants near you, Salsa Shop has got you covered. It stands out among Amsterdam restaurants, offering a unique blend of traditional and modern Mexicaans food that you won't find elsewhere. Experience the best Mexicaans restaurant Amsterdam has to offer at Salsa Shop.",,1246,4.3,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1347 reviews

Name: Alfonso's Mexican & Grill Restaurant
Link: https://www.google.com/maps/search/Alfonso's+Mexican+%26+Grill+Restaurant/@52.3647123,4.8980583?authuser=0&hl=en&entry=ttu
Reviews: 516 reviews

Name: Restaurant Mama Maria - Mexican & Steak
Link: https://www.google.com/maps/search/Restaurant+Mama+Maria+-+Mexican+%26+Steak/@52.376388899999995,4.8947221999999995?authuser=0&hl=en&entry=ttu
Reviews: 351 reviews

Name: Colima
Link: https://www.google.com/maps/search/Colima/@52.3613219,4.8990735?authuser=0&hl=en&entry=ttu
Reviews: 279 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://salsashop.com/,020 205 1040,,Salsa Shop (Owner),https://www.google.com/maps/contrib/114801713791308898282,https://lh3.ggpht.com/p/AF1QipNfsDZnyT0ucqFjVISAF6bMEem04SwWszJS4dT4=s1024,Mexican restaurant,"Mexican restaurant, Burrito restaurant, Restaurant, South American restaurant, Taco restaurant",11 am-10 pm,,Open All Days,"Amstelstraat 32, 1017 DA Amsterdam","chipotle, habanero, wrap, employee, lemonade, healthy, burrito bowl, vegan, veggie burrito, value",https://www.google.com/maps/place/Salsa+Shop/data=!4m7!3m6!1s0x47c60995f3fac4d5:0x8b1f5daabb31c962!8m2!3d52.3660742!4d4.8997138!16s%2Fg%2F11b5pk5p_l!19sChIJ1cT685UJxkcRYskxu6pdH4s?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJx3ywmekJxkcRUunwIsQU21o,Los Pilones,"FROM MEXICO TO AMSTERDAM
From Mexico to Amsterdam
How it all came to be...

It all started in 2001 when Los Pilones opened the doors at Kerkstraat 63 and introduced authentic Mexican cuisine in The Netherlands!

Los Pilones is a Mexican cantina style concept, serving fresh home made food and drinks in a colourful and vibrant atmosphere - a fiesta straight from Mexico to Amsterdam. You can drop in for tacos, enchiladas, flautas, quesadillas, fresh margaritas, micheladas, over 200 different kinds of 100% agave tequilas and mezcal.

Pilon in Mexico means ""a little extra"" and that is exactly what we intend to give you when you visit Los Pilones!",,1742,4.3,"Name: Tacos & Tequila
Link: https://www.google.com/maps/search/Tacos+%26+Tequila/@52.363419799999996,4.885508199999999?authuser=0&hl=en&entry=ttu
Reviews: 2384 reviews

Name: El Vino
Link: https://www.google.com/maps/search/El+Vino/@52.3638878,4.88486?authuser=0&hl=en&entry=ttu
Reviews: 1852 reviews

Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Rosario Cocina Mexicana
Link: https://www.google.com/maps/search/Rosario+Cocina+Mexicana/@52.3768074,4.8821277?authuser=0&hl=en&entry=ttu
Reviews: 537 reviews

Name: Alfonso's Mexican & Grill Restaurant
Link: https://www.google.com/maps/search/Alfonso's+Mexican+%26+Grill+Restaurant/@52.3647123,4.8980583?authuser=0&hl=en&entry=ttu
Reviews: 516 reviews",http://www.lospilones.com/,020 320 4651,,Los Pilones (Owner),https://www.google.com/maps/contrib/108444661794339724279,https://lh3.ggpht.com/p/AF1QipPQxy8neehWI0zq3DHhw97lq3Mkww6WlVty0Ekn=s1024,Mexican restaurant,"Mexican restaurant, Taco restaurant",4-11 pm,,Open All Days,"Kerkstraat 63, 1017 GC Amsterdam","margaritas, cocktails, tequila, micheladas, mezcal, main course, tourist, pan de elote, mojito, tuna",https://www.google.com/maps/place/Los+Pilones/data=!4m7!3m6!1s0x47c609e999b07cc7:0x5adb14c422f0e952!8m2!3d52.3650258!4d4.8863192!16s%2Fg%2F1tggsqtv!19sChIJx3ywmekJxkcRUunwIsQU21o?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJ_RYeX8AJxkcRrlAmIop4uKo,Mexicaans Cafe-Restaurant La Margarita Amsterdam,"La Margarita. Het Mexicaans restaurant van Amsterdam! Al meer dan dertig jaar een begrip. Gevestigd in de Langebrugsteeg nr 6, het bruisend hart van Amsterdam. Tussen het Rokin en de Nes; op loopafstand van het Rembrandtplein en Dam, ontvangen wij u in een levendige en vriendelijke ambiance. Ons restaurant is geschikt voor een diner voor twee, maar ook voor bruiloften, recepties en groepen. Tot maximaal 98 personen kunt a la carte bestellen of, indien u dit wenst, kiezen voor een samengesteld menu.tevens zijn wij gespecialiseerd in glutenvrij eten",,740,3.8,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Sombrero Mexico Restaurant
Link: https://www.google.com/maps/search/Sombrero+Mexico+Restaurant/@52.3763911,4.8947388?authuser=0&hl=en&entry=ttu
Reviews: 1103 reviews

Name: De Margaritabar
Link: https://www.google.com/maps/search/De+Margaritabar/@52.3634851,4.8854103?authuser=0&hl=en&entry=ttu
Reviews: 475 reviews

Name: Restaurant Mama Maria - Mexican & Steak
Link: https://www.google.com/maps/search/Restaurant+Mama+Maria+-+Mexican+%26+Steak/@52.376388899999995,4.8947221999999995?authuser=0&hl=en&entry=ttu
Reviews: 351 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",http://www.mexican.nl/,020 624 0529,,Mexicaans Cafe-Restaurant La Margarita Amsterdam (Owner),https://www.google.com/maps/contrib/102898374315097566408,https://lh3.ggpht.com/p/AF1QipMkwJGPC09eHccUErdabSuLyVZGaeyCYdCCXOnF=s1024,Mexican restaurant,Mexican restaurant,5 pm-12 am,,"Monday, Tuesday","Langebrugsteeg 6, 1012 GB Amsterdam","cocktails, balcony, sidewalk cafe, tourist, toilet, canal, mojito, gluten, gezelligheid, owner",https://www.google.com/maps/place/Mexicaans+Cafe-Restaurant+La+Margarita+Amsterdam/data=!4m7!3m6!1s0x47c609c05f1e16fd:0xaab8788a222650ae!8m2!3d52.3692913!4d4.8930466!16s%2Fg%2F1tj2b65k!19sChIJ_RYeX8AJxkcRrlAmIop4uKo?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJCxOrzAAJxkcRqvZVLRmxY0U,Salsa Shop,"Discover the vibrant flavors of Mexico at Salsa Shop Haarlemmerstraat, a top-notch Mexicaans fast casual restaurant in Amsterdam. Savour authentic Mexican cuisine right in the heart of the city. Eager for a hearty lunch in Amsterdam? Our restaurant caters to all your cravings. From smoky, grilled meats to fresh, zesty salsa, our menu is a feast for all. Whether you're looking for a restaurant near you, or wanting to dive into delicious Mexicaans food, Salsa Shop Haarlemmerstraat is the place to be. Why wait?",,486,4.7,"Name: Tacos & Tequila
Link: https://www.google.com/maps/search/Tacos+%26+Tequila/@52.363419799999996,4.885508199999999?authuser=0&hl=en&entry=ttu
Reviews: 2384 reviews

Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Alfonso's Mexican & Grill Restaurant
Link: https://www.google.com/maps/search/Alfonso's+Mexican+%26+Grill+Restaurant/@52.3647123,4.8980583?authuser=0&hl=en&entry=ttu
Reviews: 516 reviews

Name: Restaurant Mama Maria - Mexican & Steak
Link: https://www.google.com/maps/search/Restaurant+Mama+Maria+-+Mexican+%26+Steak/@52.376388899999995,4.8947221999999995?authuser=0&hl=en&entry=ttu
Reviews: 351 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.364385899999995,4.897919000000001?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",https://salsashop.com/,020 303 7845,,Salsa Shop (Owner),https://www.google.com/maps/contrib/109005677855125064427,https://lh3.ggpht.com/p/AF1QipPtdl9W6tVJvsPy9UH8U0YQ9MbIoJw3Y4QPBW1z=s1024,Mexican restaurant,"Mexican restaurant, Burrito restaurant, South American restaurant, Taco restaurant",11 am-10 pm,,Open All Days,"Haarlemmerstraat 97, 1013 EM Amsterdam","burrito, prices, barbacoa, taste, hot sauce, carnitas, cold, cookies, very very good, cash register",https://www.google.com/maps/place/Salsa+Shop/data=!4m7!3m6!1s0x47c60900ccab130b:0x4563b1192d55f6aa!8m2!3d52.3805781!4d4.8907431!16s%2Fg%2F11l2zj238y!19sChIJCxOrzAAJxkcRqvZVLRmxY0U?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJgxcn6scJxkcRHARNgB6V0qU,Restaurant Mama Maria - Mexican & Steak,,,351,3.6,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1347 reviews

Name: Mexican Restaurant
Link: https://www.google.com/maps/search/Mexican+Restaurant/@52.376691099999995,4.902021599999999?authuser=0&hl=en&entry=ttu
Reviews: 1154 reviews

Name: Sombrero Mexico Restaurant
Link: https://www.google.com/maps/search/Sombrero+Mexico+Restaurant/@52.3763911,4.8947388?authuser=0&hl=en&entry=ttu
Reviews: 1103 reviews

Name: Tomatillo
Link: https://www.google.com/maps/search/Tomatillo/@52.360625399999996,4.8676978?authuser=0&hl=en&entry=ttu
Reviews: 347 reviews",,020 427 9900,,Restaurant Mama Maria - Mexican & Steak (Owner),https://www.google.com/maps/contrib/109487115413645684452,https://lh3.ggpht.com/p/AF1QipM4Zni5o6fHWh6nJc0kxXgA00mnGi0cPZC1qqPB=s1024,Mexican restaurant,"Mexican restaurant, Argentinian restaurant",12 pm-12 am,,Open All Days,"Netherlands, Nieuwezijds Kolk 14, 1012 PV Amsterdam","price, food and service, salsa, burrito, mixed grill, broccoli and carrots, paella, spareribs, account manager, ribeye",https://www.google.com/maps/place/Restaurant+Mama+Maria+-+Mexican+%26+Steak/data=!4m7!3m6!1s0x47c609c7ea271783:0xa5d2951e804d041c!8m2!3d52.3763889!4d4.8947222!16s%2Fg%2F11bv2l6jnk!19sChIJgxcn6scJxkcRHARNgB6V0qU?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
ChIJNzCoW9AJxkcR3fOqWaJH-4E,Caramba,Mexicaanse restaurant,,505,4.1,"Name: The Mexican
Link: https://www.google.com/maps/search/The+Mexican/@52.3722646,4.8943848999999995?authuser=0&hl=en&entry=ttu
Reviews: 1348 reviews

Name: Madre
Link: https://www.google.com/maps/search/Madre/@52.3782813,4.8815861?authuser=0&hl=en&entry=ttu
Reviews: 1302 reviews

Name: Mr Haz Taco Bar
Link: https://www.google.com/maps/search/Mr+Haz+Taco+Bar/@52.3771853,4.8842137?authuser=0&hl=en&entry=ttu
Reviews: 749 reviews

Name: Rosario Cocina Mexicana
Link: https://www.google.com/maps/search/Rosario+Cocina+Mexicana/@52.3768074,4.8821277?authuser=0&hl=en&entry=ttu
Reviews: 537 reviews

Name: Burrito
Link: https://www.google.com/maps/search/Burrito/@52.371777599999994,4.873349?authuser=0&hl=en&entry=ttu
Reviews: 211 reviews",http://restaurantcaramba.nl/,020 627 1188,,Caramba (Owner),https://www.google.com/maps/contrib/106655659075696874786,https://lh3.ggpht.com/p/AF1QipPHyMPStPFPlw2UcGHNwu0Z_BAt8qNOAskgzH-h=s1024,Restaurant,Restaurant,5:30-10 pm,,Open All Days,"Lindengracht 336, 1015 KN Amsterdam","mexican food, cocktails, margarita, guacamole, salsa, music, enchiladas, halal, tequila, fajitas",https://www.google.com/maps/place/Caramba/data=!4m7!3m6!1s0x47c609d05ba83037:0x81fb47a259aaf3dd!8m2!3d52.3798166!4d4.8808922!16s%2Fg%2F1tgfckjn!19sChIJNzCoW9AJxkcR3fOqWaJH-4E?authuser=0&hl=en&rclk=1,mexican restaurants amsterdam centrum
